textID;Text;Sentiment;Time of Tweet;Age of User;Country;Population -2020;Land Area (Km);Density (P/Km);llama
33f19050cf;you guys didn`t say hi or answer my questions yesterday  but nice songs.;positive;morning;0-20;Benin;12123200;112760;108;na
99c5936498;you didnt send me the text;neutral;morning;0-20;Andorra;77265;470;164;na
09140327f6;tomorrow is going to be sooo awkward & embarassing. lights & sounds last night was awesome;neutral;night;31-45;Netherlands;17134872;33720;508;na
d4623c0bd6;no worries;positive;night;31-45;Senegal;16743927;192530;87;na
ec8507eef4;haha. Thanks Shannon.  3 out of 5 boats got first.;positive;noon;60-70;Seychelles;98347;460;214;na
b667160840;then ill post it;neutral;night;31-45;Turkey;84339067;770000;110;na
1ca1423c00;getting ready for the day, out then work till close;neutral;morning;0-20;Cuba;11326616;106440;106;na
c625cee17b;you might also want to include 'never wear a moonwolf' to that;neutral;night;31-45;"Eswatini (fmr. ""Swaziland"")";1160164;17200;67;na
656e4dfa55;Sam can go shoot her self.;negative;night;31-45;Chile;19116201;743532;26;na
ab6d4ad2fa;"I don`t feel too bad, but not sure to what I should attribute that. Could be cold & flu meds; nap; alcohol; or getting better...";neutral;night;70-100;Ghana;31072940;227540;137;na
cd00966e36;Just watched hella home movies with my aunt and uncle. I miss the days where our whole family got along;negative;night;31-45;Laos;7275560;230800;32;na
e337f23744;most definitely;positive;morning;46-60;Bahrain;1701575;760;2239;na
0cbab4e443;[Sarah Mcglaclan song in background] Please donate to jpnnbak` fund of 'Dinero for the cable bill' think of how you will make her;neutral;noon;21-30;Costa Rica;5094118;51060;100;na
