textID;Text;Sentiment;Time of Tweet;Age of User;Country;Population -2020;Land Area (Km);Density (P/Km);llama
03bb148b87;'I don`t like Monday, i wish it were sunday, cause that`s my fun day.'  that was my freaking jam when i was little.   i miss it.;neutral;morning;46-60;Afghanistan;38928346;652860;60;na
bce5834e03;I misses my bed  so sleepy!;negative;noon;21-30;Venezuela;28435940;882050;32;na
99c5936498;you didnt send me the text;neutral;morning;0-20;Andorra;77265;470;164;na
d9e1b10a4f;wow.. tomorrow and then it`s over. i`ll never see some of those people again. it`s kind of sad.;negative;night;70-100;Ecuador;17643054;248360;71;na
c7d3ab998a;Writing reports....;neutral;morning;0-20;Malawi;19129952;94280;203;na
d4623c0bd6;no worries;positive;night;31-45;Senegal;16743927;192530;87;na
b667160840;then ill post it;neutral;night;31-45;Turkey;84339067;770000;110;na
7407e1cf5a;i`m going to kill myself T_T . i wasted hundreds of download and realised i got the wrong one;negative;noon;60-70;Romania;19237691;230170;84;na
ee100f96c1;using yahoo pipes to combine feeds - doable & reliable I guess;positive;morning;0-20;Democratic Republic of the Congo;89561403;2267050;40;na
1b59763e81;you dont say;neutral;noon;60-70;Kyrgyzstan;6524195;191800;34;na
cd00966e36;Just watched hella home movies with my aunt and uncle. I miss the days where our whole family got along;negative;night;31-45;Laos;7275560;230800;32;na
e337f23744;most definitely;positive;morning;46-60;Bahrain;1701575;760;2239;na
7037789f98;you`ve got to read it downwards for it to make sense.;neutral;night;70-100;Monaco;39242;1;26337;na
b40a435ea7;Let me check, Sirs;neutral;night;31-45;Finland;5540720;304000;18;na
