textID;Text;Sentiment;Time of Tweet;Age of User;Country;Population -2020;Land Area (Km);Density (P/Km);llama
33f19050cf;you guys didn`t say hi or answer my questions yesterday  but nice songs.;positive;morning;0-20;Benin;12123200;112760;108;na
9b8052833a;tell his people to contact my people;neutral;noon;21-30;Tuvalu;11792;30;393;na
99c5936498;you didnt send me the text;neutral;morning;0-20;Andorra;77265;470;164;na
3cb4d10927;Watching WALL-E.....it`s so cute but sad;neutral;morning;0-20;Burundi;11890784;25680;463;na
a5e47d75c0;Please send me those youtube links, Erin watched most of them but I was cooking and didn`t get to see the cowboys;negative;night;31-45;Ecuador;17643054;248360;71;na
09140327f6;tomorrow is going to be sooo awkward & embarassing. lights & sounds last night was awesome;neutral;night;31-45;Netherlands;17134872;33720;508;na
d4623c0bd6;no worries;positive;night;31-45;Senegal;16743927;192530;87;na
b667160840;then ill post it;neutral;night;31-45;Turkey;84339067;770000;110;na
83e576fd29;Listening to Busted - 3AM. I miss them;negative;night;31-45;Barbados;287375;430;668;na
c625cee17b;you might also want to include 'never wear a moonwolf' to that;neutral;night;31-45;"Eswatini (fmr. ""Swaziland"")";1160164;17200;67;na
a567459a1a;read something happy?;positive;morning;0-20;South Korea;51269185;97230;527;na
656e4dfa55;Sam can go shoot her self.;negative;night;31-45;Chile;19116201;743532;26;na
0382b0a358;i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.;neutral;night;70-100;Iraq;40222493;434320;93;na
1b59763e81;you dont say;neutral;noon;60-70;Kyrgyzstan;6524195;191800;34;na
cd00966e36;Just watched hella home movies with my aunt and uncle. I miss the days where our whole family got along;negative;night;31-45;Laos;7275560;230800;32;na
c7f60af36c;oh ok thanks;positive;night;70-100;Australia;25499884;7682300;3;na
e337f23744;most definitely;positive;morning;46-60;Bahrain;1701575;760;2239;na
51ddb4abcf;Excitement: 8 new followers overnight. Sadness: 6 of them are ad bots.;negative;night;70-100;Panama;4314767;74340;58;na
598d35cd58;has made a decision and will stick to it although I`m really not sure it`s the right one;negative;night;31-45;South Africa;59308690;1213090;49;na
