textID;Text;Sentiment;Time of Tweet;Age of User;Country;Population -2020;Land Area (Km);Density (P/Km);llama
e64208b4ef;and within a short time of the last clue all of them;neutral;night;31-45;Australia;25499884;7682300;3;na
33f19050cf;you guys didn`t say hi or answer my questions yesterday  but nice songs.;positive;morning;0-20;Benin;12123200;112760;108;na
99c5936498;you didnt send me the text;neutral;morning;0-20;Andorra;77265;470;164;na
2252c58ab0;Fabulous. And I didn`t get that pic  Gmail be acting the fool sometimes. Can u DM me it?;positive;night;70-100;Marshall Islands;59190;180;329;na
e344ef4cf6;That`s actually not too far from the truth;neutral;morning;0-20;Nauru;10824;20;541;na
b667160840;then ill post it;neutral;night;31-45;Turkey;84339067;770000;110;na
156816e845;mmm, pizza for dinner. yum. but i burnt my mouth though ..;positive;night;31-45;Vietnam;97338579;310070;314;na
c625cee17b;you might also want to include 'never wear a moonwolf' to that;neutral;night;31-45;"Eswatini (fmr. ""Swaziland"")";1160164;17200;67;na
7407e1cf5a;i`m going to kill myself T_T . i wasted hundreds of download and realised i got the wrong one;negative;noon;60-70;Romania;19237691;230170;84;na
656e4dfa55;Sam can go shoot her self.;negative;night;31-45;Chile;19116201;743532;26;na
afd2159e57;thanks for a nice blog post!  should however be given some creds since he has done at least half of the work on it;positive;noon;21-30;El Salvador;6486205;20720;313;na
e337f23744;most definitely;positive;morning;46-60;Bahrain;1701575;760;2239;na
897dab966b;where?  U magazine?;neutral;noon;21-30;North Korea;25778816;120410;214;na
