textID;Text;Sentiment;Time of Tweet;Age of User;Country;Population -2020;Land Area (Km);Density (P/Km);llama
99c5936498;you didnt send me the text;neutral;morning;0-20;Andorra;77265;470;164;na
8fbd0b19e6;whatever will be, will be;neutral;noon;60-70;Chad;16425864;1259200;13;na
2252c58ab0;Fabulous. And I didn`t get that pic  Gmail be acting the fool sometimes. Can u DM me it?;positive;night;70-100;Marshall Islands;59190;180;329;na
09b5db7af0;He`s getting ear tubes in about an hour so no food;neutral;noon;60-70;Cyprus;1207359;9240;131;na
cccb3d7081;will do;neutral;noon;21-30;Tunisia;11818619;155360;76;na
d4623c0bd6;no worries;positive;night;31-45;Senegal;16743927;192530;87;na
b667160840;then ill post it;neutral;night;31-45;Turkey;84339067;770000;110;na
4f1a7d1d2c;yup its working. they couldn`t recover anything on it though;negative;night;31-45;Gambia;2416668;10120;239;na
7407e1cf5a;i`m going to kill myself T_T . i wasted hundreds of download and realised i got the wrong one;negative;noon;60-70;Romania;19237691;230170;84;na
5d9e44e6aa;just saw UP  it was a cute movie (:passed by a place called a peasants kitchen. wtf? that names kinda sad;neutral;night;70-100;Liechtenstein;38128;160;238;na
0cbab4e443;[Sarah Mcglaclan song in background] Please donate to jpnnbak` fund of 'Dinero for the cable bill' think of how you will make her;neutral;noon;21-30;Costa Rica;5094118;51060;100;na
